day,all
06/19/16,7106
06/26/16,7948
07/03/16,6552
07/10/16,6037
07/17/16,8117
07/24/16,8165
07/31/16,8219
08/07/16,7891
08/14/16,7981
08/21/16,7797
08/28/16,8658
09/04/16,7910
09/11/16,6823
09/18/16,9047
09/25/16,8610
10/02/16,7822
10/09/16,7528
10/16/16,5821
10/23/16,7967
10/30/16,7492
