day,desktop,mobile,all
10/30/16,86.79245283018868,13.20754716981132,530
11/06/16,70.49891540130152,29.50108459869848,461
11/13/16,73.28699106256207,26.713008937437934,1007
11/20/16,81.66944908180301,18.330550918196995,2995
11/27/16,77.41223671013039,22.58776328986961,4985
12/04/16,80.50147492625369,19.49852507374631,13560
12/11/16,82.80132565846851,17.198674341531483,28665
12/18/16,83.48611111111111,16.51388888888889,36000
12/25/16,82.08591758304479,17.914082416955214,26281
01/01/17,79.37650895844804,20.62349104155195,23609
01/08/17,81.14170424875385,18.858295751246143,42130
01/15/17,81.98608528508451,18.013914714915487,47863
01/22/17,81.65126124095087,18.34873875904912,39921
01/29/17,81.78396899398977,18.216031006010223,35606
