day,views
09/18/16,35669
09/25/16,33429
10/02/16,29622
10/09/16,29241
10/16/16,21377
10/23/16,31528
10/30/16,27429
11/06/16,30602
11/13/16,13373
11/20/16,24585
11/27/16,13669
12/04/16,21953
12/11/16,25081
12/18/16,28828
12/25/16,26942
01/01/17,27815
01/08/17,37252
01/15/17,43613
01/22/17,38111
01/29/17,43727
