day,views
11/20/16,81
11/27/16,24
12/04/16,27
12/11/16,600
12/18/16,1131
12/25/16,932
01/01/17,722
01/08/17,1476
01/15/17,1122
01/22/17,1027
01/29/17,897
02/05/17,905
02/12/17,1028
02/19/17,2143
