day,new,returning
08/28/16,51758,10285
09/04/16,50606,9681
09/11/16,64020,9790
09/18/16,65076,10619
09/25/16,58764,10439
10/02/16,52143,10013
10/09/16,50599,9345
10/16/16,49221,9172
10/23/16,60772,10535
10/30/16,71594,11189
11/06/16,67444,11488
11/13/16,52993,10663
11/20/16,57654,12441
11/27/16,38212,9352
12/04/16,61424,12604
12/11/16,71076,14086
12/18/16,80784,18095
12/25/16,62761,17885
01/01/17,60366,17943
01/08/17,109334,22467
