day,all
06/26/16,43863
07/03/16,49782
07/10/16,45557
07/17/16,60876
07/24/16,63597
07/31/16,61608
08/07/16,61173
08/14/16,61010
08/21/16,58119
08/28/16,62043
09/04/16,60287
09/11/16,73810
09/18/16,75695
09/25/16,69203
10/02/16,62156
10/09/16,59944
10/16/16,58393
10/23/16,71307
10/30/16,82783
11/06/16,78918
