day,desktop,mobile,all
10/02/16,78.57142857142857,21.428571428571427,280
10/09/16,78.86075949367088,21.139240506329113,790
10/16/16,75.23809523809524,24.761904761904763,840
10/23/16,77.09677419354838,22.903225806451612,930
10/30/16,75.09920634920636,24.900793650793652,1008
11/06/16,79.41415785191212,20.585842148087877,1229
11/13/16,73.84146341463415,26.158536585365855,1640
11/20/16,80.28235294117647,19.71764705882353,2125
11/27/16,76.70083876980429,23.299161230195715,1073
12/04/16,75.3688261706222,24.631173829377808,1559
