day,all
11/20/16,14
11/27/16,7
12/04/16,19
12/11/16,1761
12/18/16,18370
12/25/16,17110
01/01/17,14137
01/08/17,15602
01/15/17,14656
01/22/17,13236
01/29/17,13661
02/05/17,12888
02/12/17,10613
02/19/17,7938
02/26/17,13976
03/05/17,14374
03/12/17,13697
