day,views
10/16/16,216429
10/23/16,297321
10/30/16,364690
11/06/16,306851
11/13/16,234167
11/20/16,358023
11/27/16,270768
12/04/16,458786
12/11/16,610190
12/18/16,753117
12/25/16,567836
01/01/17,526808
01/08/17,839575
01/15/17,995513
01/22/17,792267
01/29/17,831593
02/05/17,708567
02/12/17,724095
02/19/17,692382
02/26/17,688767
