day,all
06/19/16,799
06/26/16,777
07/03/16,4348
07/10/16,6027
07/17/16,9715
07/24/16,9438
07/31/16,8521
08/07/16,8017
08/14/16,7999
08/21/16,6997
08/28/16,7507
09/04/16,7914
09/11/16,7211
09/18/16,4671
