day,views
09/25/16,11252
10/02/16,10124
10/09/16,9529
10/16/16,8813
10/23/16,9927
10/30/16,9966
11/06/16,10489
11/13/16,12187
11/20/16,40157
11/27/16,97033
12/04/16,139799
12/11/16,133693
12/18/16,116968
12/25/16,90820
01/01/17,105495
01/08/17,134643
01/15/17,144734
01/22/17,141655
01/29/17,138135
02/05/17,136518
