day,new,returning
06/12/16,14244,3118
06/19/16,13273,2931
06/26/16,13991,3112
07/03/16,11688,2827
07/10/16,10430,2551
07/17/16,14593,3097
07/24/16,14460,3188
07/31/16,15231,3442
08/07/16,15249,3327
08/14/16,15461,3484
08/21/16,15214,3569
08/28/16,16033,3706
09/04/16,13233,3206
09/11/16,13177,3140
09/18/16,14957,3341
09/25/16,13664,3324
10/02/16,13840,3375
10/09/16,12120,3081
10/16/16,9966,2726
10/23/16,13442,3118
