day,new,returning
10/02/16,276,0
10/09/16,760,6
10/16/16,798,10
10/23/16,885,12
10/30/16,976,7
11/06/16,1163,27
11/13/16,1501,32
11/20/16,1780,73
11/27/16,933,54
12/04/16,1381,60
12/11/16,1685,76
12/18/16,1535,57
12/25/16,1088,55
