day,desktop,mobile,all
11/20/16,,,
11/27/16,66.66666666666666,33.33333333333333,3.0
12/04/16,75.0,25.0,4.0
12/11/16,77.57009345794393,22.429906542056074,214.0
12/18/16,79.53890489913545,20.461095100864554,347.0
12/25/16,79.25696594427245,20.743034055727556,323.0
01/01/17,76.08695652173914,23.91304347826087,230.0
01/08/17,65.85858585858585,34.14141414141414,495.0
01/15/17,76.86915887850468,23.130841121495326,428.0
01/22/17,76.5840220385675,23.415977961432507,363.0
01/29/17,75.29411764705883,24.705882352941178,340.0
02/05/17,76.89969604863222,23.10030395136778,329.0
02/12/17,74.78753541076487,25.21246458923513,353.0
02/19/17,69.86301369863014,30.136986301369863,876.0
02/26/17,64.44895886236668,35.55104113763331,1969.0
