day,new,returning
11/20/16,14,0
11/27/16,6,1
12/04/16,16,3
12/11/16,1754,7
12/18/16,18089,281
12/25/16,14015,3095
01/01/17,10560,3577
01/08/17,11624,3978
01/15/17,10477,4179
01/22/17,9324,3912
01/29/17,9508,4153
02/05/17,8822,4066
02/12/17,7155,3458
02/19/17,5619,2319
