day,new,returning
11/20/16,5,0
11/27/16,2,0
12/04/16,4,0
12/11/16,204,0
12/18/16,311,10
12/25/16,274,22
01/01/17,195,12
01/08/17,413,19
01/15/17,349,35
01/22/17,301,28
01/29/17,276,32
02/05/17,251,36
02/12/17,285,31
02/19/17,756,49
02/26/17,1714,70
03/05/17,1887,103
