day,all
06/26/16,17103
07/03/16,14515
07/10/16,12981
07/17/16,17690
07/24/16,17648
07/31/16,18673
08/07/16,18576
08/14/16,18945
08/21/16,18783
08/28/16,19739
09/04/16,16439
09/11/16,16317
09/18/16,18298
09/25/16,16988
10/02/16,17215
10/09/16,15201
10/16/16,12692
10/23/16,16560
10/30/16,15906
11/06/16,16198
