day,new,returning
06/12/16,6513,1538
06/19/16,5734,1372
06/26/16,6507,1441
07/03/16,5346,1206
07/10/16,4940,1097
07/17/16,6697,1420
07/24/16,6713,1452
07/31/16,6803,1416
08/07/16,6516,1375
08/14/16,6607,1374
08/21/16,6424,1373
08/28/16,7187,1471
09/04/16,6628,1282
09/11/16,5600,1223
09/18/16,7578,1469
09/25/16,7129,1481
10/02/16,6462,1360
10/09/16,6197,1331
10/16/16,4802,1019
10/23/16,6626,1341
