day,new,returning
10/30/16,108,0
11/06/16,1,0
11/13/16,13,3
11/20/16,18,6
11/27/16,10,5
12/04/16,10,4
12/11/16,475,7
12/18/16,549,15
12/25/16,488,41
01/01/17,359,29
01/08/17,1374,51
01/15/17,657,67
01/22/17,481,44
01/29/17,456,52
02/05/17,626,54
02/12/17,699,69
02/19/17,1037,88
02/26/17,1494,100
03/05/17,1626,141
