day,all
10/30/16,108
11/06/16,1
11/13/16,16
11/20/16,24
11/27/16,15
12/04/16,14
12/11/16,482
12/18/16,564
12/25/16,529
01/01/17,388
01/08/17,1425
01/15/17,724
01/22/17,525
01/29/17,508
02/05/17,680
02/12/17,768
02/19/17,1125
