day,desktop,mobile,all
10/30/16,,,
11/06/16,,,
11/13/16,83.33333333333334,16.666666666666664,18.0
11/20/16,,,
11/27/16,89.47368421052632,10.526315789473683,19.0
12/04/16,94.11764705882352,5.88235294117647,17.0
12/11/16,68.26003824091778,31.73996175908222,523.0
12/18/16,75.81699346405229,24.18300653594771,612.0
12/25/16,76.6256590509666,23.374340949033392,569.0
01/01/17,70.83333333333334,29.166666666666668,432.0
01/08/17,54.39698492462311,45.60301507537689,1592.0
01/15/17,68.71008939974456,31.28991060025543,783.0
01/22/17,72.59786476868328,27.402135231316727,562.0
01/29/17,71.97106690777576,28.028933092224236,553.0
02/05/17,70.28112449799197,29.71887550200803,747.0
02/12/17,66.78743961352657,33.21256038647343,828.0
02/19/17,75.31276063386156,24.68723936613845,1199.0
