day,views
10/30/16,6050
11/06/16,713
11/13/16,3401
11/20/16,19031
11/27/16,29753
12/04/16,78361
12/11/16,162399
12/18/16,198363
12/25/16,136763
01/01/17,115217
01/08/17,216805
