day,views
05/15/16,118478
05/22/16,122695
05/29/16,96799
06/05/16,84191
06/12/16,120156
06/19/16,109596
06/26/16,118114
07/03/16,94544
07/10/16,81508
07/17/16,122789
07/24/16,124455
07/31/16,127422
08/07/16,122882
08/14/16,129340
08/21/16,128893
08/28/16,137618
09/04/16,107071
09/11/16,106030
09/18/16,125846
09/25/16,115615
