day,new,returning
01/08/17,87,5743
01/15/17,156,11569
01/22/17,154,9418
01/29/17,891,8932
02/05/17,1278,6483
02/12/17,1262,6660
02/19/17,1228,6139
02/26/17,1249,5916
03/05/17,1622,7422
