day,all
10/30/16,32
11/06/16,41
11/13/16,87
11/20/16,77
11/27/16,56
12/04/16,96
12/11/16,83
12/18/16,69
12/25/16,63
01/01/17,58
01/08/17,272
01/15/17,150
01/22/17,88
01/29/17,94
02/05/17,86
02/12/17,112
02/19/17,97
02/26/17,112
03/05/17,97
03/12/17,118
