Task,Status,Comments (only if Yellow or Red
Conduct pre-launch tasks (per the [launch guide](https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Project%20Management/Launch%20Guide.md)),,
COMPLETE ALL PRE FLIGHT TASKS,Complete,
