Task,Status,Comments (only if Yellow or Red
Identify VA business owner,Green,
Identify product team members,Green,
Conduct a kickoff meeting,Yellow,Mike Nacinik (NCA) coordinating
Draft a product charter / MOU,N/A,Content product only
Complete a SIGNED charter / MOU,N/A,
COMPLETE ALL PRODUCT DEFINITION TASKS,Green,
